Season,Hard Coral Cover,Fleshy Macro Algae Cover,Rubble,Bleaching,Total Denisty,Commercial Denisty,Commercial Biomass,Herbivore Denisty,Carnivore Density,Omnivore Density,Corallivore Denisty,Detritovore Density,
SEP-NOV 2017,38.19,9.31,8.65,3.26,149.92,71,12.67,51.75,15.42,17.08,38.83,13.83,1
DEC-FEB 2017/ 18,30,19.17,9.58,0.42,105.5,38.5,1.53,27,8.5,20.5,34,12.5,
MAR-MAY 2018,26.82,21.29,7.42,0.23,178.1,122.1,6.41,103.7,13.7,11.5,24.7,12.2,
JUN-AUG 2018,31.37,16.08,4.31,0.93,226.25,98,5.87,89,32.75,15.5,43.25,19.25,
SEP-NOV 2018,34.51,14.27,11.35,0.54,157.13,64.25,5.19,64,18.88,21.5,30.25,11.75,
DEC-FEB 2018/ 19,32.78,18.36,8.14,1.58,178.43,93.43,9.42,55.71,17.57,20,26,16.14,
MAR-MAY 2019,29.61,17.56,7.71,2.82,161.73,72.55,4.14,68,25.64,9.91,25.73,12.82,
JUN-AUG 2019,33.58,11.86,12.08,1.04,298,160.29,7.03,156.43,27.71,19,42.57,23.29,
SEP-NOV 2019,33.56,13.65,10.17,7.85,172.56,80.81,3.5,89.44,13.63,14.13,23.19,16.06,
DEC-FEB 2019/ 20,25.33,30.43,9.87,2.9,527.86,346,18.64,415.29,13.57,19.71,29.71,16.14,
MAR-MAY 2020,,,,,,,,,,,,,
JUN-AUG 2020,,,,,,,,,,,,,
SEP-NOV 2020,,,,,,,,,,,,,
DEC-FEB 2010/ 21,,,,,,,,,,,,,
MAR-MAY 2021,,,,,,,,,,,,,
JUN-AUG 2021,,,,,,,,,,,,,
SEP-NOV 2021,,,,,,,,,,,,,
DEC-FEB 2021/ 22,,,,,,,,,,,,,
MAR-MAY 2022,23.36,19.66,10.95,6.74,"1,072.00",110.67,7.16,966.33,30.33,25,19.33,8,
JUN-AUG 2022,25.83,20.76,8.02,8.16,829.77,85.15,3.96,674,52.46,16.15,23.46,5.54,
SEP-NOV 2022,27.62,18.81,8.75,9.94,1510.91,489.27,42.74,1240.36,127.91,32.09,25.27,10.27,
DEC-FEB 2022/ 23,24.78,19,12.94,7.55,1566.14,469.71,18.2,1281.43,100.14,23,22.29,13,
MAR-MAY 2023,26.96,19.08,12,6.42,549.67,92.88,3.64,457.49,28.35,12.18,14.88,7.65,
JUN-AUG 2023,24.66,16.27,12.1,1.07,858.45,34.64,2.4,691.45,84.73,19.64,16.09,8.55,
SEP-NOV 2023,19.36,23.08,17.05,0.77,566.1,73.8,5.2,454.4,64.1,12.1,9.4,11.9,
DEC-FEB 2023/ 24,15.56,17.5,18.47,1.06,827.17,258.5,7.9,700.08,52.83,10.08,16.25,11.92,
MAR-MAY 2024,20.17,17.58,12.67,2,1048.63,108,6.93,846.88,90.5,21.63,20.25,30.5,
JUN-AUG 2024,22.66,18.85,11.2,2.29,922.5,71.38,1.76,659.5,171.25,16.75,14.75,7.88,
SEP-NOV 2024,19.39,12.33,17.39,1.72,637.36,86.73,2.65,455.36,114.82,10.27,9.09,6.64,
DEC-FEB 2024/ 25,,,,,,,,,,,,,